left right "linearSpeed approx" "linearSpeed exact" error "rotationSpeed approx" "rotationSpeed exact" error "dx approx" "dx exact" error "dy approx" "dy exact" error "dtheta approx" "dtheta exact" error
150 270 255.2543945312 255.254403104 -8.572799998773917e-06 -72.6708068848 -72.6708074534 5.686000008608971e-07 5.1045403481 5.10454057647 -2.283700002436717e-07 0.0647466481 0.0647466500012 -1.901200002984993e-09 -0.0253668968 -0.0253668972029 4.029000015559614e-10
180 0 109.3947448730 109.394744188 6.849999891755942e-07 109.0062103271 109.00621118 -8.52899987080491e-07 2.1873669624 2.18736697242 -1.0019999940880098e-08 -0.0416200534 -0.0416200565318 3.1317999998892176e-09 0.0380503424 0.0380503458043 -3.404300001619287e-09
180 30 127.6271972656 127.627201552 -4.286399999386958e-06 90.8385086060 90.8385093168 -7.107999948630095e-07 2.5521161556 2.55211631565 -1.600500003640093e-07 -0.0404654332 -0.0404654356526 2.4526000050317798e-09 0.0317086205 0.0317086215036 -1.0036000017143998e-09
180 60 145.8596496582 145.859658917 -9.258799991584965e-06 72.6708068848 72.6708074534 -5.686000008608971e-07 2.9168801308 2.91688032941 -1.9861000000176432e-07 -0.0369980820 -0.036998085715 3.7149999951302526e-09 0.0253668968 0.0253668972029 -4.029000015559614e-10
180 90 164.0921173096 164.092116281 1.028600024710613e-06 54.5031051636 54.5031055901 -4.265000015379883e-07 3.2816443443 3.28164434813 -3.829999872806411e-09 -0.0312178638 -0.0312178671966 3.396600001259742e-09 0.0190251712 0.0190251729022 -1.7021999990096681e-09
180 120 182.3245697021 182.324573646 -3.943899997693734e-06 36.3354034424 36.3354037267 -2.8430000043044856e-07 3.6463935375 3.64639370527 -1.6777000011458654e-07 -0.0231247321 -0.0231247335776 1.477600000687751e-09 0.0126834484 0.0126834486014 -2.0139999910850914e-10
180 150 200.5570373535 200.55703101 6.343499990180135e-06 18.1677017212 18.1677018634 -1.4220000110753972e-07 4.0111141205 4.01111373394 3.865600000096947e-07 -0.0127187315 -0.012718731346 -1.540000002520081e-10 0.0063417242 0.00634172430072 -1.0072000004857085e-10
180 180 218.7894897461 218.789488375 1.3711000121929828e-06 0.0000000000 -0.0 0.0 4.3757896423 4.3757897675 -1.251999997009534e-07 0.0000000000 0 0.0 0.0000000000 0 0.0
180 210 237.0219421387 237.02194574 -3.6012999942158785e-06 -18.1677017212 -18.1677018634 1.4220000110753972e-07 4.7404069901 4.74040714011 -1.5000999997738518e-07 0.0150312278 0.0150312279544 -1.5439999972999274e-10 -0.0063417242 -0.00634172430072 1.0072000004857085e-10
180 240 255.2543945312 255.254403104 -8.572799998773917e-06 -36.3354034424 -36.3354037267 2.8430000043044856e-07 5.1049509048 5.10495118738 -2.825800002881351e-07 0.0323746242 0.0323746270087 -2.8087000017440467e-09 -0.0126834484 -0.0126834486014 2.0139999910850914e-10
180 270 273.4868469238 273.486860469 -1.3545200033604488e-05 -54.5031051636 -54.5031055901 4.265000015379883e-07 5.4694070816 5.46940724688 -1.6528000035265222e-07 0.0520297736 0.0520297786611 -5.061099997427654e-09 -0.0190251712 -0.0190251729022 1.7021999990096681e-09
210 0 127.6271972656 127.627201552 -4.286399999386958e-06 127.1739120483 127.173913043 -9.947000023657893e-07 2.5517055988 2.55170574932 -1.5052000001958277e-07 -0.0566470511 -0.0566470532154 2.1154000010015217e-09 0.0443920717 0.0443920701051 1.5949000037318584e-09
210 30 145.8596496582 145.859658917 -9.258799991584965e-06 109.0062103271 109.00621118 -8.52899987080491e-07 2.9164891243 2.91648929657 -1.72270000042829e-07 -0.0554933995 -0.0554934087091 9.209100003404469e-09 0.0380503424 0.0380503458043 -3.404300001619287e-09
210 60 164.0921173096 164.092116281 1.028600024710613e-06 90.8385086060 90.8385093168 -7.107999948630095e-07 3.2812922001 3.28129240583 -2.0573000014678655e-07 -0.0520269871 -0.0520269886962 1.5961999985658615e-09 0.0317086205 0.0317086215036 -1.0036000017143998e-09
210 90 182.3245697021 182.324573646 -3.943899997693734e-06 72.6708068848 72.6708074534 -5.686000008608971e-07 3.6461002827 3.64610041176 -1.2906000002033124e-07 -0.0462476052 -0.0462476071437 1.9436999995625648e-09 0.0253668968 0.0253668972029 -4.029000015559614e-10
210 120 200.5570373535 200.55703101 6.343499990180135e-06 54.5031051636 54.5031055901 -4.265000015379883e-07 4.0108990669 4.01089864771 4.1919000004497775e-07 -0.0381551683 -0.0381551710181 2.7181000020193302e-09 0.0190251712 0.0190251729022 -1.7021999990096681e-09
210 150 218.7894897461 218.789488375 1.3711000121929828e-06 36.3354034424 36.3354037267 -2.8430000043044856e-07 4.3756723404 4.37567244632 -1.059199998820759e-07 -0.0277496781 -0.0277496802931 2.193100000213999e-09 0.0126834484 0.0126834486014 -2.0139999910850914e-10
210 180 237.0219421387 237.02194574 -3.6012999942158785e-06 18.1677017212 18.1677018634 -1.4220000110753972e-07 4.7404069901 4.74040714011 -1.5000999997738518e-07 -0.0150312278 -0.0150312279544 1.5439999972999274e-10 0.0063417242 0.00634172430072 -1.0072000004857085e-10
210 210 255.2543945312 255.254403104 -8.572799998773917e-06 0.0000000000 -0.0 0.0 5.1050877571 5.10508806208 -3.049800003651626e-07 0.0000000000 0 0.0 0.0000000000 0 0.0
210 240 273.4868469238 273.486860469 -1.3545200033604488e-05 -18.1677017212 -18.1677018634 1.4220000110753972e-07 5.4697003365 5.46970054629 -2.0979000048271246e-07 0.0173437241 0.0173437245628 -4.627999997119936e-10 -0.0063417242 -0.00634172430072 1.0072000004857085e-10
210 270 291.7192993164 291.719317833 -1.851659999374533e-05 -36.3354034424 -36.3354037267 2.8430000043044856e-07 5.8342294693 5.83422992843 -4.591299997969145e-07 0.0369995683 0.0369995737242 -5.42419999888244e-09 -0.0126834484 -0.0126834486014 2.0139999910850914e-10
240 0 145.8596496582 145.859658917 -9.258799991584965e-06 145.3416137695 145.341614907 -1.1375000212865416e-06 2.9159417152 2.91594190342 -1.8822000003027028e-07 -0.0739842579 -0.0739842683139 1.0413899992345321e-08 0.0507337935 0.0507337944058 -9.05800004447066e-10
240 30 164.0921173096 164.092116281 1.028600024710613e-06 127.1739120483 127.173913043 -9.947000023657893e-07 3.2807643414 3.28076453484 -1.934400000180858e-07 -0.0728319287 -0.0728319255626 -3.1374000064587904e-09 0.0443920717 0.0443920701051 1.5949000037318584e-09
240 60 182.3245697021 182.324573646 -3.943899997693734e-06 109.0062103271 109.00621118 -8.52899987080491e-07 3.6456115246 3.64561162071 -9.610999995857128e-08 -0.0693667531 -0.0693667608864 7.786399996989601e-09 0.0380503424 0.0380503458043 -3.404300001619287e-09
240 90 200.5570373535 200.55703101 6.343499990180135e-06 90.8385086060 90.8385093168 -7.107999948630095e-07 4.0104684830 4.01046849602 -1.3019999300922791e-08 -0.0635885447 -0.0635885417398 -2.960200001789204e-09 0.0317086205 0.0317086215036 -1.0036000017143998e-09
240 120 218.7894897461 218.789488375 1.3711000121929828e-06 72.6708068848 72.6708074534 -5.686000008608971e-07 4.3753204346 4.37532049412 -5.9520000483814783e-08 -0.0554971248 -0.0554971285725 3.772499999887824e-09 0.0253668968 0.0253668972029 -4.029000015559614e-10
240 150 237.0219421387 237.02194574 -3.6012999942158785e-06 54.5031051636 54.5031055901 -4.265000015379883e-07 4.7401528358 4.7401529473 -1.1150000034376717e-07 -0.0450924709 -0.0450924748396 3.939600000391064e-09 0.0190251712 0.0190251729022 -1.7021999990096681e-09
240 180 255.2543945312 255.254403104 -8.572799998773917e-06 36.3354034424 36.3354037267 -2.8430000043044856e-07 5.1049509048 5.10495118738 -2.825800002881351e-07 -0.0323746242 -0.0323746270087 2.8087000017440467e-09 0.0126834484 0.0126834486014 -2.0139999910850914e-10
240 210 273.4868469238 273.486860469 -1.3545200033604488e-05 18.1677017212 18.1677018634 -1.4220000110753972e-07 5.4697003365 5.46970054629 -2.0979000048271246e-07 -0.0173437241 -0.0173437245628 4.627999997119936e-10 0.0063417242 0.00634172430072 -1.0072000004857085e-10
240 240 291.7192993164 291.719317833 -1.851659999374533e-05 0.0000000000 -0.0 0.0 5.8343858719 5.83438635667 -4.847699992538423e-07 0.0000000000 0 0.0 0.0000000000 0 0.0
240 270 309.9517822266 309.951775198 7.028600009562069e-06 -18.1677017212 -18.1677018634 1.4220000110753972e-07 6.1989941597 6.19899395246 2.072399993835461e-07 0.0196562205 0.0196562211712 -6.712000018282982e-10 -0.0063417242 -0.00634172430072 1.0072000004857085e-10
270 0 164.0921173096 164.092116281 1.028600024710613e-06 163.5093231201 163.50931677 6.350099994278935e-06 3.2800607681 3.28006078612 -1.8020000158713856e-08 -0.0936309993 -0.093631004571 5.270999997586401e-09 0.0570755191 0.0570755187065 3.934999964760877e-10
270 30 182.3245697021 182.324573646 -3.943899997693734e-06 145.3416137695 145.341614907 -1.1375000212865416e-06 3.6449272633 3.64492737928 -1.1597999982626561e-07 -0.0924803317 -0.0924803353924 3.692399996868545e-09 0.0507337935 0.0507337944058 -9.05800004447066e-10
270 60 200.5570373535 200.55703101 6.343499990180135e-06 127.1739120483 127.173913043 -9.947000023657893e-07 4.0098233223 4.00982332037 1.930000159688916e-09 -0.0890168026 -0.0890167979099 -4.6901000028132245e-09 0.0443920717 0.0443920701051 1.5949000037318584e-09
270 90 218.7894897461 218.789488375 1.3711000121929828e-06 109.0062103271 109.00621118 -8.52899987080491e-07 4.3747339249 4.37473394485 -1.9949999874313562e-08 -0.0832401067 -0.0832401130636 6.363600008052472e-09 0.0380503424 0.0380503458043 -3.404300001619287e-09
270 120 237.0219421387 237.02194574 -3.6012999942158785e-06 90.8385086060 90.8385093168 -7.107999948630095e-07 4.7396445274 4.7396445862 -5.8799999536063297e-08 -0.0751500949 -0.0751500947834 -1.166000074270812e-10 0.0317086205 0.0317086215036 -1.0036000017143998e-09
270 150 255.2543945312 255.254403104 -8.572799998773917e-06 72.6708068848 72.6708074534 -5.686000008608971e-07 5.1045403481 5.10454057647 -2.283700002436717e-07 -0.0647466481 -0.0647466500012 1.901200002984993e-09 0.0253668968 0.0253668972029 -4.029000015559614e-10
270 180 273.4868469238 273.486860469 -1.3545200033604488e-05 54.5031051636 54.5031055901 -4.265000015379883e-07 5.4694070816 5.46940724688 -1.6528000035265222e-07 -0.0520297736 -0.0520297786611 5.061099997427654e-09 0.0190251712 0.0190251729022 -1.7021999990096681e-09
270 210 291.7192993164 291.719317833 -1.851659999374533e-05 36.3354034424 36.3354037267 -2.8430000043044856e-07 5.8342294693 5.83422992843 -4.591299997969145e-07 -0.0369995683 -0.0369995737242 5.42419999888244e-09 0.0126834484 0.0126834486014 -2.0139999910850914e-10
270 240 309.9517822266 309.951775198 7.028600009562069e-06 18.1677017212 18.1677018634 -1.4220000110753972e-07 6.1989941597 6.19899395246 2.072399993835461e-07 -0.0196562205 -0.0196562211712 6.712000018282982e-10 0.0063417242 0.00634172430072 -1.0072000004857085e-10
270 270 328.1842346191 328.184232563 2.056099958736013e-06 0.0000000000 -0.0 0.0 6.5636844635 6.56368465125 -1.8775000043547152e-07 0.0000000000 0 0.0 0.0000000000 0 0.0
